Longitude,Latitude,RelativeDensity
17.00,46.50,0.77101
17.50,46.50,0.77311
18.00,46.50,0.74375
18.50,46.50,0.73750
19.00,46.50,0.72917
19.50,46.50,0.71250
20.00,46.50,0.70000
20.50,46.50,0.65417
21.00,46.50,0.57708
21.50,46.50,0.50000
22.00,46.50,0.39583
24.00,46.50,0.25000
24.50,46.50,0.25000
25.00,46.50,0.25000
25.50,46.50,0.20833
26.00,46.50,0.14583
26.50,46.50,0.10417
27.00,46.50,0.06042
27.50,46.50,0.04167
28.00,46.50,0.04167
28.50,46.50,0.00000
29.00,46.50,0.00000
29.50,46.50,0.00000
30.00,46.50,0.00000
30.50,46.50,0.00000
31.00,46.50,0.00000
-1.50,47.00,0.00000
-1.00,47.00,0.00000
-0.50,47.00,0.00000
0.00,47.00,0.00000
0.50,47.00,0.00000
1.00,47.00,0.00000
1.50,47.00,0.00000
2.00,47.00,0.00000
2.50,47.00,0.00000
3.00,47.00,0.00000
3.50,47.00,0.00000
4.00,47.00,0.00000
4.50,47.00,0.04167
5.00,47.00,0.04167
5.50,47.00,0.10417
6.00,47.00,0.14583
6.50,47.00,0.19792
7.00,47.00,0.25000
7.50,47.00,0.25000
8.00,47.00,0.25000
9.50,47.00,0.39583
10.00,47.00,0.50000
10.50,47.00,0.58333
11.00,47.00,0.70000
11.50,47.00,0.71250
12.00,47.00,0.72917
12.50,47.00,0.74375
13.00,47.00,0.77101
13.50,47.00,0.80042
14.00,47.00,0.82983
14.50,47.00,0.86555
15.00,47.00,0.84454
15.50,47.00,0.84454
16.00,47.00,0.84454
16.50,47.00,0.84454
17.00,47.00,0.82983
17.50,47.00,0.82143
18.00,47.00,0.77101
18.50,47.00,0.75420
19.00,47.00,0.73750
19.50,47.00,0.72083
20.00,47.00,0.70625
20.50,47.00,0.65417
21.00,47.00,0.57708
21.50,47.00,0.50000
22.00,47.00,0.39583
24.00,47.00,0.25000
24.50,47.00,0.25000
25.00,47.00,0.20833
25.50,47.00,0.14583
26.00,47.00,0.14583
26.50,47.00,0.10417
27.00,47.00,0.04167
27.50,47.00,0.04167
28.00,47.00,0.04167
28.50,47.00,0.00000
29.00,47.00,0.00000
29.50,47.00,0.00000
30.00,47.00,0.00000
30.50,47.00,0.00000
31.00,47.00,0.00000
31.50,47.00,0.00000
32.00,47.00,0.00000
-2.00,47.50,0.00000
-1.50,47.50,0.00000
-1.00,47.50,0.00000
-0.50,47.50,0.00000
0.00,47.50,0.00000
0.50,47.50,0.00000
1.00,47.50,0.00000
1.50,47.50,0.00000
2.00,47.50,0.00000
2.50,47.50,0.00000
3.00,47.50,0.00000
3.50,47.50,0.00000
4.00,47.50,0.04167
4.50,47.50,0.04167
5.00,47.50,0.10417
5.50,47.50,0.14583
6.00,47.50,0.17292
6.50,47.50,0.25000
7.00,47.50,0.25000
7.50,47.50,0.25000
9.00,47.50,0.45833
9.50,47.50,0.54583
10.00,47.50,0.65417
10.50,47.50,0.70625
11.00,47.50,0.72917
11.50,47.50,0.75630
12.00,47.50,0.79412
12.50,47.50,0.82983
13.00,47.50,0.86765
13.50,47.50,0.88235
14.00,47.50,0.90546
14.50,47.50,0.92227
15.00,47.50,0.92647
15.50,47.50,0.92227
16.00,47.50,0.90546
16.50,47.50,0.88235
17.00,47.50,0.86765
17.50,47.50,0.82983
18.00,47.50,0.79412
18.50,47.50,0.75840
19.00,47.50,0.73750
19.50,47.50,0.72083
20.00,47.50,0.70625
20.50,47.50,0.65417
21.00,47.50,0.57708
21.50,47.50,0.49792
22.00,47.50,0.39583
23.50,47.50,0.25000
24.00,47.50,0.25000
24.50,47.50,0.25000
25.00,47.50,0.20833
25.50,47.50,0.14583
26.00,47.50,0.10417
26.50,47.50,0.10417
27.00,47.50,0.04167
27.50,47.50,0.04167
28.00,47.50,0.04167
28.50,47.50,0.00000
29.00,47.50,0.00000
29.50,47.50,0.00000
30.00,47.50,0.00000
30.50,47.50,0.00000
31.00,47.50,0.00000
31.50,47.50,0.00000
32.00,47.50,0.00000
-4.50,48.00,0.00000
-4.00,48.00,0.00000
-3.50,48.00,0.00000
-3.00,48.00,0.00000
-2.50,48.00,0.00000
-2.00,48.00,0.00000
-1.50,48.00,0.00000
-1.00,48.00,0.00000
-0.50,48.00,0.00000
0.00,48.00,0.00000
0.50,48.00,0.00000
1.00,48.00,0.00000
1.50,48.00,0.00000
